INFO 2025-04-29 17:40:25,680 autoreload 38476 10824 Watching for file changes with StatReloader
DEBUG 2025-04-29 17:40:26,427 plugin 38476 10824 declare 'renderer' plugin manager
DEBUG 2025-04-29 17:40:26,427 plugin 38476 10824 declare 'parser' plugin manager
DEBUG 2025-04-29 17:40:26,453 plugin 38476 10824 declare 'pyexcel-io reader' plugin manager
DEBUG 2025-04-29 17:40:26,453 plugin 38476 10824 declare 'pyexcel-io writer' plugin manager
DEBUG 2025-04-29 17:40:26,453 plugin 38476 10824 declare 'pyexcel-io v2 writer' plugin manager
DEBUG 2025-04-29 17:40:26,453 plugin 38476 10824 declare 'pyexcel-io v2 reader' plugin manager
DEBUG 2025-04-29 17:40:26,465 loader 38476 10824 scanning for plugins...
DEBUG 2025-04-29 17:40:26,533 loader 38476 10824 ignored pyexcel_io
DEBUG 2025-04-29 17:40:26,534 plugin 38476 10824 add pyexcel_ods.odsr.ODSBook as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,535 plugin 38476 10824 load pyexcel_ods.odsr.ODSBook later
DEBUG 2025-04-29 17:40:26,535 plugin 38476 10824 add pyexcel_ods.odsr.ODSBookInContent as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,535 plugin 38476 10824 load pyexcel_ods.odsr.ODSBookInContent later
DEBUG 2025-04-29 17:40:26,535 plugin 38476 10824 add pyexcel_ods.odsw.ODSWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:40:26,536 plugin 38476 10824 load pyexcel_ods.odsw.ODSWriter later
DEBUG 2025-04-29 17:40:26,536 utils 38476 10824 found pyexcel_ods
DEBUG 2025-04-29 17:40:26,538 plugin 38476 10824 add pyexcel_ods3.odsr.ODSBook as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,538 plugin 38476 10824 load pyexcel_ods3.odsr.ODSBook later
DEBUG 2025-04-29 17:40:26,538 plugin 38476 10824 add pyexcel_ods3.odsr.ODSBookInContent as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,539 plugin 38476 10824 load pyexcel_ods3.odsr.ODSBookInContent later
DEBUG 2025-04-29 17:40:26,539 plugin 38476 10824 add pyexcel_ods3.odsw.ODSWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:40:26,539 plugin 38476 10824 load pyexcel_ods3.odsw.ODSWriter later
DEBUG 2025-04-29 17:40:26,541 utils 38476 10824 found pyexcel_ods3
DEBUG 2025-04-29 17:40:26,547 plugin 38476 10824 add pyexcel_io.readers.csv_in_file.FileReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,550 plugin 38476 10824 load pyexcel_io.readers.csv_in_file.FileReader later
DEBUG 2025-04-29 17:40:26,550 plugin 38476 10824 add pyexcel_io.readers.csv_content.ContentReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,550 plugin 38476 10824 load pyexcel_io.readers.csv_content.ContentReader later
DEBUG 2025-04-29 17:40:26,551 plugin 38476 10824 add pyexcel_io.readers.csv_in_memory.MemoryReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,551 plugin 38476 10824 load pyexcel_io.readers.csv_in_memory.MemoryReader later
DEBUG 2025-04-29 17:40:26,552 plugin 38476 10824 add pyexcel_io.readers.csvz.FileReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,552 plugin 38476 10824 load pyexcel_io.readers.csvz.FileReader later
DEBUG 2025-04-29 17:40:26,553 plugin 38476 10824 add pyexcel_io.readers.csvz.ContentReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,553 plugin 38476 10824 load pyexcel_io.readers.csvz.ContentReader later
DEBUG 2025-04-29 17:40:26,553 utils 38476 10824 found pyexcel_io.readers
DEBUG 2025-04-29 17:40:26,555 plugin 38476 10824 add pyexcel_io.writers.csv_in_file.CsvFileWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:40:26,555 plugin 38476 10824 load pyexcel_io.writers.csv_in_file.CsvFileWriter later
DEBUG 2025-04-29 17:40:26,555 plugin 38476 10824 add pyexcel_io.writers.csv_in_memory.CsvMemoryWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:40:26,555 plugin 38476 10824 load pyexcel_io.writers.csv_in_memory.CsvMemoryWriter later
DEBUG 2025-04-29 17:40:26,555 plugin 38476 10824 add pyexcel_io.writers.csvz_writer.CsvZipWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:40:26,555 plugin 38476 10824 load pyexcel_io.writers.csvz_writer.CsvZipWriter later
DEBUG 2025-04-29 17:40:26,557 utils 38476 10824 found pyexcel_io.writers
DEBUG 2025-04-29 17:40:26,558 plugin 38476 10824 add pyexcel_io.database.exporters.queryset.QueryReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,558 plugin 38476 10824 load pyexcel_io.database.exporters.queryset.QueryReader later
DEBUG 2025-04-29 17:40:26,558 plugin 38476 10824 add pyexcel_io.database.exporters.django.DjangoBookReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:40:26,559 plugin 38476 10824 load pyexcel_io.database.exporters.django.DjangoBookReader later
DEBUG 2025-04-29 17:40:26,559 plugin 38476 10824 add pyexcel_io.database.importers.django.DjangoBookWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:40:26,559 plugin 38476 10824 load pyexcel_io.database.importers.django.DjangoBookWriter later
DEBUG 2025-04-29 17:40:26,559 plugin 38476 10824 add pyexcel_io.database.exporters.sqlalchemy.SQLBookReader as 'pyexcel-io v2 reader' plugin
